model,prompt,tokens,lang,sents_per_doc,words_per_doc,words_per_sent,coverage,density,compression,summary_length,percentage_novel_1-gram,percentage_repeated_1-gram_in_summ,percentage_novel_2-gram,percentage_repeated_2-gram_in_summ,percentage_novel_3-gram,percentage_repeated_3-gram_in_summ
article,article,"['A', 'Asociación', 'de', 'Pacientes', 'Finisterrae', 'leva', 'meses', 'a', 'demandar', 'a', 'cesión', 'dun', 'local', 'por', 'parte', 'do', 'concello', 'de', 'Carnota', 'para', 'poñer', 'en', 'marcha', 'diversos', 'servizos', 'de', 'apoio', 'ós', 'enfermos', 'de', 'cancro', '.', 'En', 'xaneiro', 'de', '2018', 'nacía', 'en', 'Carnota', 'esta', 'asociación', 'co', 'obxectivo', 'de', 'prestar', 'servizo', 'ós', 'enfermos', 'e', 'as', 'súas', 'familias', '.', 'Catro', 'anos', 'despois', 'e', 'cunha', 'pandemia', 'de', 'por', 'medio', ',', 'os', 'fundadores', 'da', 'entidade', 'recoñecen', 'estar', '""', 'cansos', 'de', 'chamar', 'ás', 'portas', 'dos', 'concellos', 'da', 'costa', 'da', 'morte', 'en', 'busca', 'de', 'apoio', '""', '.', 'Tan', 'só', 'demandan', ',', 'indican', ',', 'a', 'cesión', 'dun', 'local', 'para', 'poder', 'poñer', 'en', 'marcha', 'un', 'centro', 'terapéutico', '.', 'Outro', 'dos', 'seus', 'principais', 'retos', 'consiste', 'na', 'mellora', 'da', 'calidade', 'asistencial', 'a', 'través', 'da', 'dotación', 'de', 'máis', 'medios', 'ó', 'Hospital', 'de', 'Cee', ',', 'para', 'o', 'que', 'reclaman', 'unha', 'UCI', 'con', 'servizo', '24', 'horas', 'ou', 'a', 'implantación', 'de', 'máis', 'especialidades', '.', 'Lembran', 'a', 'necesidade', 'destes', 'servizos', 'nunha', 'área', 'como', 'a', 'Costa', 'da', 'Morte', ',', '""', 'que', 'reunimos', 'un', 'total', 'de', '17', 'concellos', 'que', 'en', 'conxunto', ',', 'suman', 'máis', 'de', '80.000', 'habitantes', 'que', 'teñen', 'unha', 'alta', 'carencia', 'de', 'servizos', 'sanitarios', 'e', 'de', 'atención', 'primaria', 'solventes', ',', 'exceptuando', 'o', 'Hospital', 'Virxe', 'da', 'Xunqueira', 'de', 'Cee', 'e', 'tendo', 'como', 'única', 'referencia', ',', 'o', 'Complexo', 'Hospitalario', 'Universitario', 'de', 'Santiago', 'de', 'Compostela', '(', 'CHUS', ')', ',', 'cun', 'traxecto', 'mínimo', 'de', '60', 'quilómetros', 'en', 'vehículo', 'e', 'escasas', 'combinacións', 'e', 'posibilidades', 'de', 'acudir', 'en', 'transporte', 'público', '""', '.']",1,6,236,39.333333333333336,,,,,,,,,,
human,human,"['A', 'asociación', 'de', 'Pacientes', 'Finisterrae', 'pide', 'a', 'cesión', 'dun', 'local', 'para', 'abrir', 'un', 'centro', 'terapéutico', 'oncolóxico', 'ao', 'concello', 'de', 'Carnota', 'e', 'máis', 'medios', 'no', 'Hospital', 'de', 'Cee', '.', 'Esta', 'organización', 'denuncia', 'a', 'falta', 'de', 'servizos', 'sanitarios', 'suficientes', 'e', 'de', 'calidade', 'na', 'área', 'da', 'Costa', 'da', 'Morte', ',', 'tendo', 'en', 'conta', 'a', 'súa', 'densidade', 'poboacional', 'e', 'a', 'distancia', 'á', 'que', 'se', 'atopa', 'o', 'hospital', 'de', 'referencia', '.']",1,2,66,33.0,0.6825396825396826,1.7619047619047619,3.4126984126984126,63.0,0.4,0.1,0.6721311475409836,0.01639344262295082,0.8360655737704918,0.0
human,human,"['A', 'Asociación', 'de', 'Pacientes', 'Finisterrae', ',', 'creada', 'en', '2018', ',', 'leva', 'meses', 'demandando', 'recursos', 'para', 'axudar', 'os', 'enfermos', 'de', 'cancro', 'da', 'comarca', 'e', 'as', 'súas', 'familias', ';', 'entre', 'eles', ',', 'un', 'local', 'onde', 'crear', 'un', 'centro', 'terapéutico', 'en', 'Carnota', '.', 'Ademais', ',', 'a', 'Asociación', 'reclama', 'a', 'mellora', 'da', 'calidade', 'asistencial', 'e', 'o', 'fortalecemento', 'de', 'recursos', 'nunha', 'área', 'de', '17', 'concellos', ',', 'os', 'que', 'dependen', 'do', 'hospital', 'de', 'Cee', ',', 'infradotado', ',', 'ou', 'do', 'de', 'Santiago', ',', 'afastado', 'e', 'de', 'difícil', 'acceso', '.']",1,2,82,41.0,0.6338028169014085,1.3380281690140845,3.028169014084507,71.0,0.46296296296296297,0.18518518518518517,0.7681159420289855,0.014492753623188406,0.9130434782608695,0.0
human,human,"['A', 'Asociación', 'de', 'Pacientes', 'Finisterrae', ',', 'nada', 'en', 'xaneiro', 'de', '2018', ',', 'leva', 'meses', 'demandado', 'que', 'o', 'concello', 'de', 'Carnota', 'ceda', 'un', 'local', 'para', 'dar', 'servizos', 'de', 'apoio', 'a', 'enfermos', 'de', 'cancro', 'e', 'as', 'súas', 'familias', ',', 'así', 'como', 'maiores', 'medios', 'para', 'o', 'Hospital', 'de', 'Cee', '.', 'Defenden', 'que', 'a', 'Costa', 'da', 'Morte', 'presenta', 'unha', 'gran', 'carencia', 'deste', 'tipo', 'de', 'servizos', '.']",1,2,62,31.0,0.7017543859649122,1.6140350877192982,3.7719298245614037,57.0,0.3695652173913043,0.10869565217391304,0.6428571428571429,0.0,0.8545454545454545,0.0
gpt5,base,"['A', 'Asociación', 'de', 'Pacientes', 'Finisterrae', ',', 'creada', 'en', 'Carnota', 'en', '2018', 'para', 'apoiar', 'a', 'enfermos', 'de', 'cancro', 'e', 'ás', 'súas', 'familias', ',', 'leva', 'anos', 'reclamando', 'a', 'cesión', 'dun', 'local', 'municipal', 'para', 'abrir', 'un', 'centro', 'terapéutico', '.', 'Denuncian', 'a', 'falta', 'de', 'apoio', 'institucional', 'e', 'insisten', 'na', 'necesidade', 'de', 'mellorar', 'a', 'asistencia', 'sanitaria', 'na', 'Costa', 'da', 'Morte', ',', 'reclamando', 'máis', 'medios', 'para', 'o', 'Hospital', 'de', 'Cee', ',', 'incluíndo', 'unha', 'UCI', '24', 'horas', 'e', 'máis', 'especialidades', '.', 'Subliñan', 'que', 'os', '17', 'concellos', 'da', 'comarca', ',', 'con', 'máis', 'de', '80.000', 'habitantes', ',', 'sofren', 'unha', 'grave', 'carencia', 'de', 'servizos', 'sanitarios', ',', 'dependendo', 'do', 'hospital', 'de', 'Cee', 'e', ',', 'en', 'última', 'instancia', ',', 'do', 'CHUS', 'en', 'Santiago', ',', 'a', '60', 'km', 'e', 'con', 'malas', 'conexións', 'de', 'transporte', 'público', '.']",0,3,123,41.0,0.7,1.3727272727272728,1.9545454545454546,110.0,0.4,0.1625,0.7407407407407407,0.009259259259259259,0.9166666666666666,0.0
gpt5,5w1h,"['Aquí', 'tes', 'o', 'resumo', 'segundo', 'o', 'método', 'dos', '5W1H', ':', 'Que', '?', 'A', 'Asociación', 'de', 'Pacientes', 'Finisterrae', 'solicita', 'a', 'cesión', 'dun', 'local', 'municipal', 'e', 'melloras', 'sanitarias', 'na', 'Costa', 'da', 'Morte', '.', 'Quen', '?', 'A', 'Asociación', 'de', 'Pacientes', 'Finisterrae', 'e', 'os', 'concellos', 'da', 'Costa', 'da', 'Morte', ',', 'especialmente', 'o', 'de', 'Carnota', '.', 'Cando', '?', 'A', 'asociación', 'naceu', 'en', 'xaneiro', 'de', '2018', ';', 'levan', 'meses', 'reclamando', 'apoio', ',', 'tras', 'catro', 'anos', 'de', 'actividade', 'e', 'a', 'interrupción', 'da', 'pandemia', '.', 'Onde', '?', 'En', 'Carnota', 'e', 'na', 'comarca', 'da', 'Costa', 'da', 'Morte', '(', 'A', 'Coruña', ')', ',', 'con', 'referencia', 'ao', 'Hospital', 'de', 'Cee', 'e', 'ao', 'CHUS', 'en', 'Santiago', '.', 'Por', 'que', '?', 'Porque', 'a', 'comarca', ',', 'con', 'máis', 'de', '80.000', 'habitantes', 'en', '17', 'concellos', ',', 'presenta', 'unha', 'alta', 'carencia', 'de', 'servizos', 'sanitarios', 'e', 'atención', 'primaria', '.', 'Como', '?', 'Mediante', 'peticións', 'ós', 'concellos', ',', 'reclamando', 'un', 'local', 'para', 'un', 'centro', 'terapéutico', ',', 'unha', 'UCI', 'con', 'servizo', '24', 'horas', 'no', 'Hospital', 'de', 'Cee', 'e', 'máis', 'especialidades', 'médicas', '.']",0,13,162,12.461538461538462,0.6474820143884892,1.985611510791367,1.5467625899280575,139.0,0.4945054945054945,0.24175824175824176,0.7244094488188977,0.07086614173228346,0.8320610687022901,0.04580152671755725
gpt5,tldr,"['A', 'Asociación', 'de', 'Pacientes', 'Finisterrae', ',', 'creada', 'en', '2018', 'en', 'Carnota', ',', 'leva', 'anos', 'pedindo', 'sen', 'éxito', 'a', 'cesión', 'dun', 'local', 'para', 'abrir', 'un', 'centro', 'terapéutico', 'de', 'apoio', 'a', 'enfermos', 'de', 'cancro', '.', 'Reclaman', 'tamén', 'melloras', 'no', 'Hospital', 'de', 'Cee', ',', 'como', 'unha', 'UCI', '24', 'horas', 'e', 'máis', 'especialidades', ',', 'lembrando', 'que', 'na', 'Costa', 'da', 'Morte', '(', '17', 'concellos', 'e', 'máis', 'de', '80.000', 'habitantes', ')', 'hai', 'unha', 'gran', 'carencia', 'de', 'servizos', 'sanitarios', ',', 'coa', 'única', 'referencia', 'real', 'no', 'CHUS', 'de', 'Santiago', ',', 'a', 'máis', 'de', '60', 'km', 'e', 'con', 'malas', 'conexións', 'de', 'transporte', '.']",0,2,94,47.0,0.6666666666666666,1.5238095238095237,2.5595238095238093,84.0,0.4090909090909091,0.10606060606060606,0.7283950617283951,0.024691358024691357,0.8780487804878049,0.0
salamandra,base,"['Unha', 'das', 'demandas', 'prioritarias', 'é', 'a', 'posta', 'en', 'funcionamento', 'dunha', 'unidade', 'de', 'coidados', 'intensivos', '(', 'UCI', ')', 'no', 'hospital', 'comarcal', 'de', 'Cee', ',', 'así', 'como', 'a', 'ampliación', 'de', 'especialidades', 'médicas', ',', 'dado', 'que', 'actualmente', 'non', 'se', 'pode', 'acceder', 'á', 'maioría', 'delas', 'sen', 'desprazarse', 'ata', 'Santiago', 'de', 'Compostela', '.', 'Ademais', ',', 'tamén', 'solicitan', 'a', 'creación', 'dun', 'Centro', 'de', 'Día', 'para', 'persoas', 'enfermas', 'de', 'cáncer', ',', 'xa', 'que', 'consideran', 'necesario', 'ofrecerlles', 'alternativas', 'ao', 'tratamento', 'oncolóxico', 'convencional', ',', 'especialmente', 'cando', 'este', 'último', 'afecta', 'negativamente', 'a', 'súa', 'vida', 'diaria', '.', 'Esta', 'petición', 'forma', 'parte', 'dun', 'proxecto', 'máis', 'amplo', 'chamado', '""', 'Proxecto', 'Vida', '""', ',', 'cuxa', 'finalidade', 'última', 'é', 'mellorar', 'a', 'calidade', 'de', 'vida', 'dos', 'pacientes', 'afectados', 'pola', 'enfermidade', '.', 'O', 'equipo', 'médico', 'responsable', 'deste', 'proxecto', 'está', 'formado', 'por', 'especialistas', 'altamente', 'cualificados', 'nos', 'campos', 'de', 'oncoloxía', 'médica', 'e', 'psicolóxica', ',', 'entre', 'outros', '.', 'Grazas', 'aos', 'avances', 'tecnolóxicos', 'recentes', ',', 'agora', 'podemos', 'proporcionar', 'tratamentos', 'personalizados', 'adaptados', 'especificamente', 'ás', 'necesidades', 'individuais', 'dos', 'nosos', 'pacientes', ';', 'algo', 'impensable', 'hai', 'poucos', 'anos', 'atrás', 'grazas', 'aos', 'grandes', 'progresos', 'realizados', 'nesta', 'área', 'durante', 'os', 'últimos', 'tempos', '.', 'Isto', 'permítenos', 'ofrecer', 'opcións', 'terapéu']",0,6,181,30.166666666666668,0.2392638036809816,0.27607361963190186,1.3190184049079754,163.0,0.8263888888888888,0.06944444444444445,0.9813664596273292,0.006211180124223602,1.0,0.0
salamandra,5w1h,"['Quen', ':', 'A', 'Asociación', 'de', 'Pacientes', 'Finisterrae', '.', 'Cando', ':', 'Nos', 'últimos', 'catro', 'anos', '.', 'Onde', ':', 'No', 'Concello', 'de', 'Carnota', '.', 'Por', 'que', ':', 'Demandaron', 'a', 'cesión', 'dun', 'local', 'para', 'pór', 'en', 'marcha', 'diversos', 'servizos', 'de', 'apoio', 'aos', 'enfermos', 'de', 'cancro', '.', 'Como', ':', 'Levan', 'meses', 'chamando', 'á', 'porta', 'dos', 'concellos', 'da', 'costa', 'da', 'morte', 'buscando', 'apoio', '.', 'Que', ':', 'Só', 'demandan', 'a', 'cesión', 'dun', 'local', 'para', 'poder', 'pór', 'en', 'marcha', 'un', 'centro', 'terapéutico', '.', 'O', 'presidente', 'da', 'asociación', 'recoñece', 'que', 'están', 'cansos', 'de', 'chamar', 'ás', 'portas', 'dos', 'concellos', 'da', 'costa', 'da', 'morte', 'buscando', 'apoio', '.', 'Tan', 'só', 'demandan', 'a', 'cesión', 'dun', 'local', 'para', 'poder', 'pór', 'en', 'marcha', 'un', 'centro', 'terapéutico', '.', 'Outra', 'das', 'súas', 'demandas', 'é', 'mellorar', 'a', 'calidade', 'assistencial', 'a', 'través', 'da', 'dotación', 'de', 'máis', 'medios', 'ao', 'hospital', 'de', 'Cee', ',', 'reclamando', 'unha', 'UCI', 'con', 'servizo', '24', 'horas', 'ou', 'a', 'implantación', 'de', 'máis', 'especialidades', '.', 'Lembran', 'a', 'necesidade', 'destes', 'servizos', 'nunha', 'área', 'como', 'a', 'Costa', 'da', 'Morte', ',']",0,10,161,16.1,0.7291666666666666,6.923611111111111,1.4930555555555556,144.0,0.358695652173913,0.2826086956521739,0.4956521739130435,0.1826086956521739,0.5833333333333334,0.15
salamandra,tldr,"['A', 'Asociación', 'de', 'Pacientes', 'Finisterrae', 'leva', 'catro', 'anos', 'reclamando', 'ao', 'Concello', 'de', 'Carnota', 'a', 'cesión', 'dun', 'local', 'para', 'crear', 'un', 'centro', 'terapéutico', ',', 'ademais', 'de', 'reclamar', 'melloras', 'na', 'asistencia', 'sanitaria', 'no', 'hospital', 'comarcal', 'de', 'Cee', '.', 'A', 'Asociación', 'de', 'Pacientes', 'Finisterrae', 'leva', 'catro', 'anos', 'reclamando', 'ao', 'Concello', 'de', 'Carnota', 'a', 'cesión', 'dun', 'local', 'para', 'crear', 'un', 'centro', 'terapéutico', ',', 'ademais', 'de', 'reclamar', 'melloras', 'na', 'asistencia', 'sanitaria', 'no', 'hospital', 'comarcal', 'de', 'Cee', '.', 'Resumo', ':', 'A', 'Asociación', 'de', 'Pacientes', 'Finisterrae', 'leva', 'catro', 'anos', 'pedindo', 'aos', 'concellos', 'da', 'zona', 'a', 'cesión', 'dun', 'espazo', 'onde', 'abrir', 'un', 'centro', 'terapéutico', ';', 'tamén', 'solicitan', 'melloras', 'nos', 'servizos', 'sanitarios', 'do', 'Hospital', 'Comarcal', 'de', 'Cee', '.', 'En', 'resumo', ':', 'A', 'Asociación', 'de', 'Pacientes', 'Finisterrae', 'reclama', 'desde', 'hai', 'catro', 'anos', 'a', 'cesión', 'dun', 'local', 'por', 'parte', 'do', 'concello', 'de', 'Carnota', 'para', 'pór', 'en', 'funcionamento', 'diferentes', 'servizos', 'de', 'apoio', 'á', 'poboación', 'enferma', 'de', 'cancro', '.', 'Ademais', ',', 'demandan', 'melloras', 'na', 'calidade', 'assistencial', 'no', 'Hospital', 'Comarcal', 'de', 'Cee', 'mediante', 'a', 'dotación', 'de', 'máis', 'recursos', 'humanos', 'e', 'materiais']",0,5,167,33.4,0.6305732484076433,2.6178343949044587,1.3694267515923566,157.0,0.5416666666666666,0.4722222222222222,0.7263157894736842,0.35789473684210527,0.8476190476190476,0.3142857142857143
